Restaurant ID,Restaurant Name,Review Count,Overall Rating,Price Range,Categories,Coordinates,Address,Phone,Image
stock-and-barrel-knoxville,Stock & Barrel,1393,,$$,"Burgers,Salad,Cocktail Bars",35.96559 -83.92028,"35 Market Sq Knoxville, TN 37902 ",(865) 766-2075,https://s3-media2.fl.yelpcdn.com/bphoto/BgRnH9U-3ZAkNKozruaizg/o.jpg
farmacy-knoxville-2,Farmacy,321,,$$,"Southern,Breakfast & Brunch,Comfort Food",35.939031828327465 -83.98740889238788,"5018 Kingston Pike Knoxville, TN 37919 ",(865) 247-4678,https://s3-media1.fl.yelpcdn.com/bphoto/ts-K6rwbBuKQLns5XsOg0A/o.jpg
the-brass-pearl-knoxville,The Brass Pearl,27,,$$$,"Live/Raw Food,Cocktail Bars,Seafood",35.96562 -83.91935,"24 Market Square Knoxville, TN 37902 ",(865) 415-2984,https://s3-media3.fl.yelpcdn.com/bphoto/qYBlyiRNMrgvgrnju7QXgg/o.jpg
not-watsons-kitchen-bar-knoxville-2,Not Watson's kitchen + Bar,519,,$$,"American (Traditional),Lounges",35.96513 -83.91988,"15 Market Sq Knoxville, TN 37902 ",(865) 766-4848,https://s3-media2.fl.yelpcdn.com/bphoto/X-gJqYLuV3d7AT3ICyAeVQ/o.jpg
guss-world-famous-fried-chicken-knoxville,Gus's World Famous Fried Chicken,375,,$$,"Chicken Shop,Southern,Comfort Food",35.9521293640137 -83.9675064086914,"3101 Sutherland Ave Knoxville, TN 37919 ",(865) 200-5468,https://s3-media4.fl.yelpcdn.com/bphoto/i1dfG2S4L_oJLZ7wTF0evA/o.jpg
kaizen-knoxville-2,Kaizen,263,,$$,"Asian Fusion,Noodles,Cocktail Bars",35.9694209 -83.918324,"127 S Central Ave Knoxville, TN 37902 ",(865) 409-4444,https://s3-media2.fl.yelpcdn.com/bphoto/BCj1eBvnoRHhrsSUCctvsg/o.jpg
balter-beerworks-knoxville,Balter Beerworks,518,,$$,"American (New),Beer Gardens,Cocktail Bars",35.9663732533217 -83.9242329606677,"100 S Broadway St Knoxville, TN 37902 ",(865) 999-5015,https://s3-media3.fl.yelpcdn.com/bphoto/fyFO7xtCoWbwAmZNzcnz7g/o.jpg
firebirds-wood-fired-grill-knoxville,Firebirds Wood Fired Grill,97,,$$,"Seafood,Steakhouses,Cocktail Bars",35.92868483930992 -84.03789653305306,"7641 Kingston Pike Knoxville, TN 37919 ",(865) 722-7770,https://s3-media2.fl.yelpcdn.com/bphoto/PwAU41l1b6j1r1dMqzO9Lg/o.jpg
emmas-southern-kitchen-knoxville,Emma's Southern Kitchen,72,,$$,"Tacos,Salad,Burgers",35.946314 -83.981014,"3701 Sutherland Ave Knoxville, TN 37919 ",(865) 801-9116,https://s3-media3.fl.yelpcdn.com/bphoto/vwftq_kdY72T2gPHQa6sYQ/o.jpg
southern-grit-knoxville,Southern Grit,117,,$$,"American (Traditional),Beer Bar,Cocktail Bars",35.969552 -83.918102,"126 S Central St Knoxville, TN 37902 ",(865) 240-4275,https://s3-media2.fl.yelpcdn.com/bphoto/MuFj-9WjLW8E8O0YRARZnQ/o.jpg
j-c-holdway-knoxville,J C  Holdway,164,,$$$,"American (New),Southern,Bars",35.9642493724823 -83.9205265045166,"501 Union Ave Knoxville, TN 37902 ",(865) 312-9050,https://s3-media4.fl.yelpcdn.com/bphoto/K6nFlJ5YFo592-optWSbaQ/o.jpg
harvest-land-sea-and-vine-knoxville-2,Harvest-Land Sea & Vine,82,,,"American (New),Seafood,Wine Bars",35.938216 -83.988868,"5200 Kingston Pike Knoxville, TN 37919 ",(865) 500-2427,https://s3-media1.fl.yelpcdn.com/bphoto/t5JfuREg4Ox_tVer4eS89Q/o.jpg
a-dopo-sourdough-pizza-knoxville,A Dopo Sourdough Pizza,326,,$$,"Pizza,Italian",35.9724006652832 -83.9219284057617,"516 Williams St Knoxville, TN 37917 ",(865) 321-1297,https://s3-media3.fl.yelpcdn.com/bphoto/JkEG0eEc2I1_LK5_omsc6A/o.jpg
emilia-knoxville,Emilia,259,,$$,Italian,35.9654467 -83.919634,"16 Market Sq Knoxville, TN 37902 ",(865) 313-2472,https://s3-media2.fl.yelpcdn.com/bphoto/hrfw2qHzwBRpKLqD7mD9RQ/o.jpg
osteria-stella-knoxville,Osteria Stella,45,,,"Italian,Wine Bars",35.9701952 -83.9185551,"108 W Jackson Ave Knoxville, TN 37902 ",(865) 247-4729,https://s3-media2.fl.yelpcdn.com/bphoto/5y2PS7-_zMXyvRql8RFtbw/o.jpg
storming-crab-knoxville-3,Storming Crab,169,,,"Cajun/Creole,Seafood",35.923914 -84.0575512,"8355 Kingston Pike Knoxville, TN 37919 ",(865) 281-3888,https://s3-media2.fl.yelpcdn.com/bphoto/NyJL-xnIP3WksdMye5LYrg/o.jpg
kefi-knoxville,Kefi,175,,$$$,"Mediterranean,Greek,Cocktail Bars",35.9706139 -83.9180096,"120 E Jackson Ave Knoxville, TN 37915 ",(865) 474-1492,https://s3-media2.fl.yelpcdn.com/bphoto/iE0r1HKK4RjQm74UaBZd2A/o.jpg
tupelo-honey-knoxville,Tupelo Honey,1154,,$$,"American (New),Southern,Breakfast & Brunch",35.9646577 -83.9194173,"1 Market Sq Knoxville, TN 37902 ",(865) 522-0004,https://s3-media2.fl.yelpcdn.com/bphoto/Qw5pr4PXXHvbTCekHeKzkw/o.jpg
sticky-rice-cafe-knoxville,Sticky Rice Cafe,534,,$$,"Laotian,Bubble Tea",35.9266842496109 -84.0435157815075,"120 Jack Dance St Knoxville, TN 37919 ",(865) 249-6273,https://s3-media2.fl.yelpcdn.com/bphoto/YBpNncSIzbnMM8Z7DcgW7w/o.jpg
sweet-p-s-bbq-downtown-dive-knoxville,Sweet P’s BBQ Downtown Dive,545,,$$,"American (New),Barbeque,Soul Food",35.96787 -83.921676,"410 W Jackson Ave Knoxville, TN 37902 ",(865) 281-1738,https://s3-media1.fl.yelpcdn.com/bphoto/xyoqdPwGMqzFjKsDO6CUmg/o.jpg
seoul-brothers-knoxville,Seoul Brothers,19,,,Korean,35.97026 -83.92195,"333 W Depot Ave Knoxville, TN 37917 ",(865) 973-8779,https://s3-media3.fl.yelpcdn.com/bphoto/HuIANlRh_18_cLwuq220ww/o.jpg
the-public-house-knoxville,The Public House,89,,$$,"Bars,American (Traditional)",35.97155 -83.92082,"212 W Magnolia Ave Knoxville, TN 37917 ",(865) 247-4344,https://s3-media1.fl.yelpcdn.com/bphoto/KSlebDSWLsGEgrubNfQPvQ/o.jpg
cava-knoxville,CAVA,12,,,"Mediterranean,Salad,Greek",35.93111 -84.01304,"6638 Kingston Pike Knoxville, TN 37919 ",(865) 381-5360,https://s3-media4.fl.yelpcdn.com/bphoto/KtDws2XwVDU2OJXX5NZ-uA/o.jpg
simpl-knoxville,Simpl,61,,$$,"American (New),Tapas/Small Plates,Wine Bars",35.959287 -83.903682,"1120 Sevier Ave Knoxville, TN 37920 ",(865) 474-1405,https://s3-media2.fl.yelpcdn.com/bphoto/zmRKReDSzEi_LKRHWOqR1w/o.jpg
tuk-tuk-thai-fusion-no-title,Tuk Tuk Thai Fusion,44,,,"Asian Fusion,Thai",35.91141 -84.0888,"9253 Kingston Pike Knoxville, TN 37922 ",(865) 737-5159,https://s3-media4.fl.yelpcdn.com/bphoto/s4QKg03Tvcafn7VXOAdMZw/o.jpg
q-korean-steakhouse-knoxville-3,Q Korean Steakhouse,82,,,"Korean,Seafood,Beer Bar",35.9164742 -84.0851178,"8851 Town And Country Cir Knoxville, TN 37923 ",(865) 474-1486,https://s3-media4.fl.yelpcdn.com/bphoto/USIyXxb86TDLSL4ZDQU2sg/o.jpg
lonesome-dove-western-bistro-knoxville,Lonesome Dove Western Bistro,190,,$$$,"American (New),Desserts,Cocktail Bars",35.9705903934328 -83.9184048771858,"100 N Central St Knoxville, TN 37902 ",(865) 999-5251,https://s3-media3.fl.yelpcdn.com/bphoto/Cz4agzSx-TI3UI2lIaf9Ag/o.jpg
